address,area,price,property_status,price_per_m2,bedroom,toilets,floornumber,property_legal,furniture
"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","2,3 tỷ",69 m²,Đã bàn giao,"33,33 triệu/m²",2 phòng,2 phòng,,,
"996, 996 Đường Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh","1,2 tỷ",52 m²,Chưa bàn giao,"23,08 triệu/m²",2 phòng,,,,
"Bàu Cát 7, Phường 14, Quận Tân Bình, Tp Hồ Chí Minh","1,55 tỷ",42 m²,Đã bàn giao,"36,9 triệu/m²",1 phòng,,,Đã có sổ,
"I142, Đường Số 9A, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh","4,8 tỷ",150 m²,Đã bàn giao,32 triệu/m²,3 phòng,2 phòng,14,Đã có sổ,Nội thất đầy đủ
"Hậu Giang, Phường 11, Quận 6, Tp Hồ Chí Minh","2,1 tỷ",82 m²,Chưa bàn giao,"25,61 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Hoàn thiện cơ bản
"Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh",11 tỷ,109 m²,Chưa bàn giao,"100,92 triệu/m²",3 phòng,2 phòng,,Đã có sổ,Nội thất cao cấp
"961, 961 Đường Hậu Giang, Phường 11, Quận 6, Tp Hồ Chí Minh","4,5 tỷ",137 m²,Đã bàn giao,"32,85 triệu/m²",3 phòng,3 phòng,18,Đã có sổ,Hoàn thiện cơ bản
"Hiệp Bình Chánh, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","3,42 tỷ",71 m²,Đã bàn giao,"48,17 triệu/m²",2 phòng,,17,,
"Hiệp Bình Chánh, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","3,4 tỷ",71 m²,Đã bàn giao,"47,89 triệu/m²",2 phòng,2 phòng,17,,
"Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","3,19 tỷ",121 m²,Chưa bàn giao,"26,36 triệu/m²",3 phòng,2 phòng,23,Đã có sổ,Hoàn thiện cơ bản
"47, Tân Thới Hòa, Phường Tân Thới Hòa, Quận Tân Phú, Tp Hồ Chí Minh",12 tỷ,165 m²,Chưa bàn giao,"72,73 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất đầy đủ
