address,area,project,price,property_status,price_per_m2,bedroom,toilet,floornumber,property_legal,furniture,balconydirection,direction,apartment_feature
"15B, 15B Đường Nguyễn Lương Bằng, Xã Phú Xuân, Huyện Nhà Bè, Tp Hồ Chí Minh","1,78 tỷ",Orchid Park,75 m²,Đã bàn giao,"23,73 triệu/m²",2 phòng,2 phòng,,Đã có sổ,,,,
"Tân Chánh Hiệp, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh","1,98 tỷ",Hưng Ngân Garden,68 m²,Chưa bàn giao,"29,12 triệu/m²",2 phòng,2 phòng,8,Đã có sổ,Nội thất cao cấp,Nam,Bắc,
"Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","1,75 tỷ",The Park Residence,60 m²,Đã bàn giao,"29,17 triệu/m²",2 phòng,1 phòng,,Đang chờ sổ,Nội thất đầy đủ,Đông,Nam,
"D7, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",2 tỷ,Ricca,57 m²,Đã bàn giao,"35,09 triệu/m²",2 phòng,1 phòng,,,,,,
"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","2,6 tỷ",Saigon Riverside Complex Q7,67 m²,Đã bàn giao,"38,81 triệu/m²",2 phòng,2 phòng,,Đang chờ sổ,Hoàn thiện cơ bản,,,
"Trương Phước Phan, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh","2,68 tỷ",Hoàng Kim Thế Gia (The Golden Dynasty),83 m²,Đã bàn giao,"32,29 triệu/m²",3 phòng,2 phòng,,,Nội thất đầy đủ,,,Căn góc
"49, Đường Lê Quang Kim, Phường 8, Quận 8, Tp Hồ Chí Minh","3,35 tỷ",Diamond Lotus Riverside,58 m²,Đã bàn giao,"57,76 triệu/m²",2 phòng,1 phòng,,,,,,Căn góc
"Đường Mai Chí Thọ, Phường Bình Khánh, Quận 2, Hồ Chí Minh, Phường An Khánh (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","3,7 triệu",New City Thủ Thiêm,94 m²,Đã bàn giao,39.362 đ/m²,3 phòng,2 phòng,15,Đã có sổ,Hoàn thiện cơ bản,Tây Bắc,Đông Bắc,Căn góc
"Bến Bình Đông, Phường 14, Quận 8, Tp Hồ Chí Minh",1 tỷ,D-Aqua,71 m²,Chưa bàn giao,"14,08 triệu/m²",2 phòng,2 phòng,25,Giấy tờ khác,Hoàn thiện cơ bản,,,Căn góc
"Xa Lộ Hà Nội, Phường Hiệp Phú (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,8 tỷ",Saigon Gateway,62 m²,Đã bàn giao,"29,03 triệu/m²",2 phòng,2 phòng,,,,,,
"18E, 18E Số 18E Đường Cộng Hòa, Phường 4, Quận Tân Bình, TP Hồ Chí Minh, Phường 4, Quận Tân Bình, Tp Hồ Chí Minh","1,4 tỷ",Republic Plaza,54 m²,Đã bàn giao,"25,93 triệu/m²",2 phòng,1 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh","4,5 tỷ",Sunrise City,106 m²,Đã bàn giao,"42,45 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất cao cấp,,,Căn góc
"số 32, số 32 đường Thủy Lợi, Phường Phước Long A (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,5 tỷ",Him Lam Phú An,69 m²,Đã bàn giao,"36,23 triệu/m²",2 phòng,2 phòng,,,,,,
"Dương Quảng Hàm, Phường 15, Quận Gò Vấp, Tp Hồ Chí Minh","2,85 tỷ",Osimi Tower,75 m²,Đã bàn giao,38 triệu/m²,3 phòng,2 phòng,,,,,,
"163, Phan Đăng Lưu, Phường 1, Quận Phú Nhuận, Tp Hồ Chí Minh","4,6 tỷ",Cao ốc Satra - Eximland,88 m²,Đã bàn giao,"52,27 triệu/m²",2 phòng,2 phòng,11,Đã có sổ,,,,
"Xa Lộ Hà Nội, Phường Hiệp Phú (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,1 tỷ",Saigon Gateway,65 m²,Đã bàn giao,"32,31 triệu/m²",2 phòng,2 phòng,9,,,,,
"An Lạc, Phường An Lạc A, Quận Bình Tân, Tp Hồ Chí Minh","3,2 tỷ",Moonlight Park View,67 m²,Đã bàn giao,"47,76 triệu/m²",2 phòng,2 phòng,,,Nội thất cao cấp,,,
"Tân Phú, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh","6,08 tỷ",Phân khu The Peak - Midtown Phú Mỹ Hưng,86 m²,Đã bàn giao,"70,7 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Hoàn thiện cơ bản,,,
"208, Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh","5,2 tỷ",Vinhomes Central Park,71 m²,Đã bàn giao,"73,24 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Hoàn thiện cơ bản,Tây Nam,Đông Bắc,
"D6, Phường Bình Chiểu (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,8 tỷ",Fresca Riverside,55 m²,Đã bàn giao,"32,73 triệu/m²",2 phòng,2 phòng,9,,,,,
"Mai Chí Thọ, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","5,3 tỷ",The Sun Avenue,96 m²,Đã bàn giao,"55,21 triệu/m²",3 phòng,2 phòng,,,,,,
"47, Tân Thới Hòa, Phường Tân Thới Hòa, Quận Tân Phú, Tp Hồ Chí Minh","2,7 tỷ",Carillon 7,66 m²,Chưa bàn giao,"40,91 triệu/m²",2 phòng,1 phòng,,Đã có sổ,Hoàn thiện cơ bản,Tây,Đông,
"Số 207, Nguyễn Xí, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh","3,1 tỷ",Richmond City,66 m²,Đã bàn giao,"46,97 triệu/m²",2 phòng,,,,,,,
"Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","1,75 tỷ",EHome 3,64 m²,Đã bàn giao,"27,34 triệu/m²",2 phòng,,,,,,,
"Phan Chu Trinh, Phường 12, Quận Bình Thạnh, Tp Hồ Chí Minh","2,8 tỷ",Chung cư 1050 Chu Văn An,60 m²,Chưa bàn giao,"46,67 triệu/m²",2 phòng,1 phòng,10,,,,,
"348, Bến Vân Đồn, Phường 1, Quận 4, Tp Hồ Chí Minh","2,15 tỷ",Vạn Đô,53 m²,Đã bàn giao,"40,57 triệu/m²",1 phòng,1 phòng,,Đã có sổ,Hoàn thiện cơ bản,,,
"36, Trịnh Đình Thảo, Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh","2,399 tỷ",Lotus Garden,53 m²,Đã bàn giao,"45,26 triệu/m²",1 phòng,,6,,Nội thất đầy đủ,,,Căn góc
"số 88, N1, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","3,52 tỷ",Celadon City,71 m²,Đã bàn giao,"49,58 triệu/m²",2 phòng,2 phòng,,,Nội thất đầy đủ,,,
"Số 2225, Phạm Thế Hiển, Phường 6, Quận 8, Tp Hồ Chí Minh","2,25 tỷ",Green River - Quận 8,69 m²,Đã bàn giao,"32,61 triệu/m²",2 phòng,2 phòng,,,,,,
"D7, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,99 tỷ",Ricca,65 m²,Đã bàn giao,"30,62 triệu/m²",2 phòng,2 phòng,,,,,,
"Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","2,7 tỷ",Hoàng Anh Gold House (Hoàng Anh An Tiến),121 m²,Chưa bàn giao,"22,31 triệu/m²",3 phòng,2 phòng,,Đã có sổ,Hoàn thiện cơ bản,Tây Bắc,Đông Nam,
"Mai Chí Thọ, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","4,19 tỷ",The Sun Avenue,76 m²,Đã bàn giao,"55,13 triệu/m²",2 phòng,2 phòng,,Đang chờ sổ,Nội thất cao cấp,,,
"số 88, số 88 Số 88 đường N1, phường Sơn Kỳ, quận Tân Phú, Tp.HCM, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","8,4 tỷ",Celadon City,95.9 m²,Chưa bàn giao,"87,59 triệu/m²",2 phòng,2 phòng,,,,Đông Nam,,Căn góc
"Nguyễn Văn Linh, Phường 7, Quận 8, Tp Hồ Chí Minh","1,59 tỷ",Dream Home Riverside,62 m²,Chưa bàn giao,"25,65 triệu/m²",2 phòng,2 phòng,,,,,,
"Chu Văn An, Phường 12, Quận Bình Thạnh, Tp Hồ Chí Minh","5,4 tỷ",Đất Phương Nam,131 m²,Đã bàn giao,"41,22 triệu/m²",3 phòng,2 phòng,,Đã có sổ,Hoàn thiện cơ bản,Đông Nam,,
"Lê Thị Riêng, Phường Thới An, Quận 12, Tp Hồ Chí Minh","2,05 tỷ",Phú An Center,70 m²,Đã bàn giao,"29,29 triệu/m²",2 phòng,2 phòng,,,,,,Căn góc
"Đường Nguyễn Lương Bằng, Phường Phú Mỹ, Quận 7, Hồ Chí Minh, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh","3,1 tỷ",Q7 Boulevard,70 m²,Đã bàn giao,"44,29 triệu/m²",2 phòng,2 phòng,19,Đang chờ sổ,Hoàn thiện cơ bản,Bắc,Nam,
"Đường Xa Lộ Hà Nội, Phường Phước Long B (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,9 tỷ",Khu dân cư Gia Hòa,63 m²,Đã bàn giao,"46,03 triệu/m²",3 phòng,2 phòng,14,Đã có sổ,Nội thất đầy đủ,Tây Bắc,Đông Nam,
"Dương Quảng Hàm, Phường 15, Quận Gò Vấp, Tp Hồ Chí Minh","1,9 tỷ",Osimi Tower,53 m²,Đã bàn giao,"35,85 triệu/m²",2 phòng,,,,,,,
"số 88, N1, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","3,4 tỷ",Celadon City,71 m²,Đã bàn giao,"47,89 triệu/m²",2 phòng,2 phòng,,,Nội thất đầy đủ,,,
"D1, Phường 25, Quận Bình Thạnh, Tp Hồ Chí Minh","1,55 tỷ",Wilton Tower,1 m²,Đã bàn giao,"1,55 tỷ/m²",2 phòng,2 phòng,,Đã có sổ,Hoàn thiện cơ bản,,,
"Đường Tân Hương, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh","1,35 tỷ",Khang Gia Tân Hương (Lucky Apartment),62 m²,Chưa bàn giao,"21,77 triệu/m²",2 phòng,1 phòng,14,Đang chờ sổ,Nội thất đầy đủ,,,
"Tân Thuận Đông, Phường Tân Thuận Đông, Quận 7, Tp Hồ Chí Minh","2,7 tỷ",Căn hộ An Viên,76.5 m²,Đã bàn giao,"35,29 triệu/m²",2 phòng,2 phòng,,Đã có sổ,,,,
"Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","3,42 tỷ",Akari City,75.13 m²,Đã bàn giao,"45,52 triệu/m²",2 phòng,2 phòng,,Đang chờ sổ,,,,
"Số 584, Huỳnh Tấn Phát, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh","7,8 tỷ",The View Riviera Point,150 m²,Đã bàn giao,52 triệu/m²,3 phòng,2 phòng,32,Đang chờ sổ,Nội thất đầy đủ,Tây Nam,Đông Bắc,Căn góc
"Mai Chí Thọ, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","4,19 tỷ",The Sun Avenue,76 m²,Đã bàn giao,"55,13 triệu/m²",2 phòng,2 phòng,,Đang chờ sổ,Nội thất cao cấp,,,
"Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh","7,3 tỷ",Sunrise City,162 m²,Đã bàn giao,"45,06 triệu/m²",3 phòng,2 phòng,,Đã có sổ,Nội thất cao cấp,,,Căn góc
"Tăng Nhơn Phú, Phường Phước Long B (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",2 tỷ,9 View Apartment,58 m²,Đã bàn giao,"34,48 triệu/m²",2 phòng,2 phòng,,,,,,
"113/89, An Dương Vương, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","1,63 tỷ",Chung cư Lê Thành,71.8 m²,Đã bàn giao,"22,7 triệu/m²",2 phòng,2 phòng,8,Đã có sổ,,,,
"315, Lý Thường Kiệt, Phường 15, Quận 11, Tp Hồ Chí Minh","3,1 tỷ",Căn hộ Thuận Việt,77 m²,Đã bàn giao,"40,26 triệu/m²",2 phòng,1 phòng,9,Đã có sổ,Hoàn thiện cơ bản,Đông Nam,Tây Bắc,
"Khu đô thị Cityland Park Hills - Số 18, Phan Văn Trị, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh","3,9 tỷ",Căn hộ Cityland Parkhill Gò Vấp,65.5 m²,Đã bàn giao,"59,54 triệu/m²",2 phòng,2 phòng,2,Đã có sổ,Nội thất đầy đủ,,,
"Số 7, Phường Bình Trị Đông B, Quận Bình Tân, Tp Hồ Chí Minh","1,5 tỷ",Full House,56 m²,Đã bàn giao,"26,79 triệu/m²",1 phòng,1 phòng,,,,,,
"Đường Hương Lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh","1,35 tỷ",Saigon Homes Bình Tân,53 m²,Chưa bàn giao,"25,47 triệu/m²",2 phòng,1 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"119, Phổ Quang, Phường 9, Quận Phú Nhuận, Tp Hồ Chí Minh","4,99 tỷ",Golden Mansion,86 m²,Đã bàn giao,"58,02 triệu/m²",3 phòng,2 phòng,,,Nội thất đầy đủ,Bắc,Nam,Căn góc
"196, 196 Đường Cao Lỗ, Phường 4, Quận 8, Tp Hồ Chí Minh","2,45 tỷ",Topaz Elite,68 m²,Đã bàn giao,"36,03 triệu/m²",2 phòng,2 phòng,,Đã có sổ,,,,Căn góc
"Xa Lộ Hà Nội, Phường Hiệp Phú (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,79 tỷ",Saigon Gateway,57 m²,Đã bàn giao,"31,4 triệu/m²",2 phòng,1 phòng,,,,,,
"196, Cao Lỗ, Phường 4, Quận 8, Tp Hồ Chí Minh","2,4000024 tỷ",Topaz Elite,70 m²,Đã bàn giao,"34,29 triệu/m²",2 phòng,2 phòng,,,,,,
"Hiệp Bình Chánh, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","3,4 tỷ",Opal Riverside,71 m²,Đã bàn giao,"47,89 triệu/m²",2 phòng,2 phòng,17,,,Tây Nam,Đông Bắc,
"Đường Hương Lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh","1,5 tỷ",Saigon Homes Bình Tân,58 m²,Chưa bàn giao,"25,86 triệu/m²",2 phòng,1 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"15B, 15B Đường Nguyễn Lương Bằng, Xã Phú Xuân, Huyện Nhà Bè, Tp Hồ Chí Minh","1,75 tỷ",Orchid Park,72 m²,Đã bàn giao,"24,31 triệu/m²",2 phòng,2 phòng,,Đã có sổ,Hoàn thiện cơ bản,,,
"DC13, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","1,85 tỷ",TaniBuilding Sơn Kỳ 1,71 m²,Đã bàn giao,"26,06 triệu/m²",2 phòng,,,Đã có sổ,,,,
"Xa Lộ Hà Nội, Phường Hiệp Phú (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","2,1 tỷ",Saigon Gateway,71 m²,Đã bàn giao,"29,58 triệu/m²",2 phòng,2 phòng,,,,,,
"996, Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh","1,15 tỷ",The Pegasuite 2,52 m²,Chưa bàn giao,"22,12 triệu/m²",2 phòng,,,,,,,
"Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh","1,45 tỷ",The Pegasuite,78 m²,Đã bàn giao,"18,59 triệu/m²",2 phòng,2 phòng,9,Đã có sổ,Nội thất đầy đủ,,,
"89, Hoàng Quốc Việt, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",6 tỷ,Sky 89 An Gia,114 m²,Đã bàn giao,"52,63 triệu/m²",3 phòng,2 phòng,24,,Hoàn thiện cơ bản,,,
"208, 208 Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh","4,6 tỷ",Vinhomes Central Park,70 m²,Đã bàn giao,"65,71 triệu/m²",2 phòng,2 phòng,,,Nội thất đầy đủ,,,
"Số 9, Nguyễn Khoái, Phường 1, Quận 4, Tp Hồ Chí Minh","1,65 tỷ",Galaxy 9,1 m²,Đã bàn giao,"1,65 tỷ/m²",2 phòng,2 phòng,,,,,,
"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","2,56 tỷ",Saigon Riverside Complex Q7,67 m²,Đã bàn giao,"38,21 triệu/m²",2 phòng,2 phòng,,,Hoàn thiện cơ bản,,,
"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","2,489 tỷ",Saigon Riverside Complex Q7,69 m²,Chưa bàn giao,"36,07 triệu/m²",2 phòng,2 phòng,,,,,,
"Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh",3 tỷ,Hoàng Anh Gold House (Hoàng Anh An Tiến),121 m²,Chưa bàn giao,"24,79 triệu/m²",3 phòng,2 phòng,,Đã có sổ,Hoàn thiện cơ bản,Tây Bắc,Đông Nam,
"Số 243, Tân Hòa Đông, Phường 14, Quận 6, Tp Hồ Chí Minh","1,36 tỷ",Summer Square,1 m²,Đã bàn giao,"1,36 tỷ/m²",2 phòng,2 phòng,8,Đã có sổ,,,,
"D7, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,7 tỷ",Ricca,47 m²,Đã bàn giao,"36,17 triệu/m²",1 phòng,1 phòng,,,,,,
"Số 12, Số 12 Số 12 Tôn Đản, Phường 13, Quận 4, Hồ Chí Minh, Phường 13, Quận 4, Tp Hồ Chí Minh","1,58 tỷ",Khu căn hộ Contrexim - Copac Square,62 m²,Chưa bàn giao,"25,48 triệu/m²",2 phòng,1 phòng,,Đã có sổ,Nội thất đầy đủ,,,
"Số 1, Tôn Thất Thuyết, Phường 18, Quận 4, Tp Hồ Chí Minh","6,048 tỷ",Căn hộ DE LA SOL (Delasol),63 m²,Chưa bàn giao,96 triệu/m²,2 phòng,2 phòng,,,,,,
"130-132, Hồng Hà, Phường 9, Quận Phú Nhuận, Tp Hồ Chí Minh","8,5 tỷ",Orchard Park View,106 m²,Đã bàn giao,"80,19 triệu/m²",3 phòng,2 phòng,,Đang chờ sổ,,,,
"49, 8, Phường 8, Quận 8, Tp Hồ Chí Minh","4,1 tỷ",Diamond Lotus Riverside,73 m²,Đã bàn giao,"56,16 triệu/m²",2 phòng,2 phòng,,,,,,
"239 – 241 – 278, Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh","3,25 tỷ",Căn hộ RichStar,65 m²,Đã bàn giao,50 triệu/m²,2 phòng,2 phòng,,,,,,
"146, Nguyễn Văn Trỗi, Phường 8, Quận Phú Nhuận, Tp Hồ Chí Minh","8,9 tỷ",Kingston Residence,115 m²,Đã bàn giao,"77,39 triệu/m²",3 phòng,2 phòng,,,,,,Căn góc
"Số 8, Số 8 Đường Gò Dưa, Phường Hiệp Bình Phước (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","1,7 tỷ",Sunview Town,61 m²,Đã bàn giao,"27,87 triệu/m²",2 phòng,2 phòng,,,,,,
"196, Cao Lỗ, Phường 4, Quận 8, Tp Hồ Chí Minh","1,68 tỷ",Topaz Elite,1 m²,Chưa bàn giao,"1,68 tỷ/m²",2 phòng,2 phòng,,Đã có sổ,Nội thất cao cấp,,,
